127.0.0.1 - - [12/Nov/2014:09:16:28 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:40 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:40 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:42 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/main.do HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/css/redmond/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/css/doworld.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/css/ck.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:43 +0900] "GET /sale_on/asset/img/gnb_sub_bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:44 +0900] "GET /asset/img/gnb_icon_03_on.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:44 +0900] "GET /sale_on/asset/img/gnb_sub_bg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:44 +0900] "GET /sale_on/asset/img/gnb_sub_bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/business/saleList.do HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/js/business.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/js/formCheck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/img/search_icon_carendar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_inset-hard_100_fcfdfd_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_inset-hard_100_f5f8f9_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_glass_85_dfeffc_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-icons_6da8d5_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-icons_469bdd_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/asset/css/redmond/images/ui-icons_d8e7f3_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:47 +0900] "GET /sale_on/business/saleList.do?_search=false&nd=1415751407251&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:48 +0900] "GET /asset/img/gnb_icon_03.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Nov/2014:09:16:49 +0900] "GET /sale_on/common/saleOnCommonPrint.do HTTP/1.1" 200 1542
