127.0.0.1 - - [24/Dec/2014:09:42:36 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:39 +0900] "GET /sale_on/main.do HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:39 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5854
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/js/jquery-ui-1.10.4.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/img/bg_login_cont.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/img/bg_login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:42 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "GET /sale_on/main.do HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "GET /sale_on/mainForManager.do HTTP/1.1" 200 20642
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "GET /sale_on/asset/css/chart.js.legend.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "GET /sale_on/asset/js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "POST /sale_on/getCompanyResultMonthByPartAjax.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:47 +0900] "POST /sale_on/getCompanyResultYearAjax.do HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/asset/js/business.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779775&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779795&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779808&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779823&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779838&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779866&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779851&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779879&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779890&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779903&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:42:59 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779930&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:43:00 +0900] "GET /sale_on/business/customerInfoList.do?_search=false&nd=1419381779947&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:43:34 +0900] "GET /sale_on/business/customerInfoGridList.do?as_dept_cd=97&as_pda_auth=A&as_cust_id=8100026&as_cust_nm=&as_use_yn=%25&_search=false&nd=1419381797603&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:43:34 +0900] "GET /sale_on/business/clientGridList.do?as_cust_id=8100026&_search=false&nd=1419381814817&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:05 +0900] "POST /sale_on/business/common/customerNameAjax.do HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:05 +0900] "GET /sale_on/business/clientGridList.do?as_cust_id=8100026&_search=false&nd=1419381905327&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:05 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=3&_search=false&nd=1419381905426&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:07 +0900] "GET /sale_on/business/clientGridList.do?as_cust_id=8100026&_search=false&nd=1419381907268&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:07 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=2&_search=false&nd=1419381907366&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 6776
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:10 +0900] "POST /sale_on/business/customerInfoList.do HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:11 +0900] "POST /sale_on/business/procClientDetail.do HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:12 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=2&_search=false&nd=1419381912630&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:14 +0900] "GET /sale_on/business/clientGridList.do?as_cust_id=8100026&_search=false&nd=1419381914641&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:14 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=5&_search=false&nd=1419381914732&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 3887
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:17 +0900] "POST /sale_on/business/customerInfoList.do HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:18 +0900] "POST /sale_on/business/procClientDetail.do HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:18 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=5&_search=false&nd=1419381918659&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 3888
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:22 +0900] "POST /sale_on/business/customerInfoList.do HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:22 +0900] "POST /sale_on/business/procClientDetail.do HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:23 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=5&_search=false&nd=1419381923121&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:25 +0900] "POST /sale_on/business/customerInfoList.do HTTP/1.1" 200 53240
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:26 +0900] "POST /sale_on/business/procClientDetail.do HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:26 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=5&_search=false&nd=1419381926745&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 3890
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:30 +0900] "GET /sale_on/business/clientGridList.do?as_cust_id=8100026&_search=false&nd=1419381930103&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:45:30 +0900] "GET /sale_on/business/clientDetailGridList.do?as_cust_id=8100026&as_customer_id=0000001&currentTab=6&_search=false&nd=1419381930198&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:52:09 +0900] "GET /sale_on/asset/img/gnb_sub_bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:52:09 +0900] "GET /sale_on/asset/img/gnb_sub_bg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:52:12 +0900] "GET /sale_on/asset/img/gnb_bullet_02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:22 +0900] "GET /sale_on/member/logOut.do HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:23 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5854
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:28 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:28 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:28 +0900] "GET /sale_on/mainForManager.do HTTP/1.1" 200 20642
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:29 +0900] "POST /sale_on/getCompanyResultMonthByPartAjax.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:29 +0900] "POST /sale_on/getCompanyResultYearAjax.do HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:32 +0900] "GET /sale_on/business/orderApprovalList.do HTTP/1.1" 200 31972
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:32 +0900] "GET /sale_on/asset/img/point_result_group.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:32 +0900] "GET /sale_on/business/orderApprovalList.do?_search=false&nd=1419382472166&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 31972
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:32 +0900] "GET /sale_on/business/orderApprovalList.do?_search=false&nd=1419382472197&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 31972
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:32 +0900] "GET /sale_on/business/orderApprovalList.do?_search=false&nd=1419382472221&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 31972
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:38 +0900] "GET /sale_on/business/orderApprovalGridList.do?adt_fr_date=2014-12-10&adt_fr_hour=00&adt_fr_minute=00&adt_to_date=2014-12-24&adt_to_hour=23&adt_to_minute=59&as_app_date=2014-12-25&as_avg_month=2014-12&as_psb_gb=0&as_receipt_gb=0&as_slip_gb=1&as_limit_yn=A&as_wiban_kind=%25&as_cust_id=&as_cust_nm=&as_part_gb=%25&grid_count=0&grid_count=0&grid_count=0&as_receipt_gb2=approval&as_return_desc=&_search=false&nd=1419382476445&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 32745
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:38 +0900] "GET /sale_on/business/promiseGridList.do?adt_fr_date=2014-12-10&adt_fr_hour=00&adt_fr_minute=00&adt_to_date=2014-12-24&adt_to_hour=23&adt_to_minute=59&as_cust_id=1150122&_search=false&nd=1419382478826&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:54:40 +0900] "GET /sale_on/business/orderDetail.do?adt_fr_date=2014-12-10&adt_fr_hour=00&adt_fr_minute=00&adt_to_date=2014-12-24&adt_to_hour=23&adt_to_minute=59&ls_ymd=2014-11-01&as_cust_id=1150122&as_rcust_id=8500557&as_gumae_no=2014-1101-0002&as_avg_month=2014-12&as_slip_gb=1&_search=false&nd=1419382478824&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:55:58 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:55:58 +0900] "GET /sale_on/asset/js/jquery-ui-1.10.4.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2014:09:55:58 +0900] "GET /sale_on/asset/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
