127.0.0.1 - - [08/Dec/2014:09:11:09 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:32 +0900] "GET /sale_on/main.do HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:32 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:34 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:34 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:36 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5748
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/js/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/redmond/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/doworld.css HTTP/1.1" 200 6159
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/ck.css HTTP/1.1" 200 3279
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2014:09:14:37 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff2 HTTP/1.1" 304 -
