127.0.0.1 - - [01/Dec/2014:09:12:52 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:23 +0900] "GET /sale_on/main.do HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:23 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 200 11759
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:25 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:25 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5354
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/js/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/redmond/jquery-ui.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/doworld.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/ck.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/img/gnb_sub_bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:26 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:27 +0900] "GET /sale_on/asset/img/gnb_sub_bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:27 +0900] "GET /sale_on/asset/img/gnb_sub_bg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/business/companyCardMgmtList.do HTTP/1.1" 200 14969
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/js/grid.locale-kr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/js/business.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/js/jquery.jqGrid.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/js/formCheck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/img/search_icon_carendar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_inset-hard_100_fcfdfd_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_inset-hard_100_f5f8f9_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_glass_85_dfeffc_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/redmond/images/ui-icons_6da8d5_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/redmond/images/ui-icons_469bdd_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2014:09:20:33 +0900] "GET /sale_on/asset/css/redmond/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png HTTP/1.1" 304 -
