127.0.0.1 - - [01/Feb/2017:11:09:42 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5933
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/js/default.js HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/js/common.js HTTP/1.1" 200 34480
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/js/placeholders.js HTTP/1.1" 200 20549
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 200 43835
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/img/logo.jpg HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/css/icon.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/img/bg_login_cont.png HTTP/1.1" 200 16075
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:37 +0900] "GET /sale_on/asset/img/bg_login.gif HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:38 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff HTTP/1.1" 200 1007984
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:38 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.woff HTTP/1.1" 200 1028900
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:38 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.woff HTTP/1.1" 200 1020132
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:38 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:55 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:55 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [01/Feb/2017:11:10:55 +0900] "GET /sale_on/asset/img/gnb_icon_02.jpg HTTP/1.1" 200 1452
