127.0.0.1 - - [12/Oct/2016:18:15:50 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5933
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/asset/css/easyui.css HTTP/1.1" 200 43835
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/asset/img/logo.jpg HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/asset/css/reset.css HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/asset/css/icon.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/asset/css/default.css HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/asset/img/bg_login.gif HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:51 +0900] "GET /sale_on/asset/img/bg_login_cont.png HTTP/1.1" 200 16075
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:52 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Bold.woff HTTP/1.1" 200 1028900
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:52 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-Regular.woff HTTP/1.1" 200 1007984
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:52 +0900] "GET /sale_on/asset/fonts/nanumgothic/NanumGothic-ExtraBold.woff HTTP/1.1" 200 1020132
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:15:52 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:18:14 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:18:14 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:18:14 +0900] "GET /sale_on/asset/img/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Oct/2016:18:18:14 +0900] "GET /sale_on/asset/img/gnb_sub_bg01.png HTTP/1.1" 200 3220
