0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:58:05 +0900] "GET /sale_on/asset/img/gnb_sub_bg02.png HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:58:05 +0900] "GET /sale_on/asset/img/gnb_bullet_01.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:58:05 +0900] "GET /sale_on/asset/img/gnb_sub_bg03.png HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:58:05 +0900] "GET /sale_on/asset/img/gnb_icon_01_on.jpg HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:58:05 +0900] "GET /sale_on/asset/img/gnb_icon_02_on.jpg HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:58:05 +0900] "GET /sale_on/asset/img/gnb_icon_03_on.jpg HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:02:50 +0900] "GET /sale_on/member/logOut.do HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:02:52 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5933
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:09:48 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:09:48 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:09:49 +0900] "GET /sale_on/mainForCustomer.do HTTP/1.1" 200 15942
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:09:51 +0900] "POST /sale_on/getCustOrderPresentConditionAjax.do HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:18 +0900] "GET /sale_on/asset/img/gnb_bullet_02.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/ui.jqgrid.css HTTP/1.1" 200 13089
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/js/grid.locale-kr.js HTTP/1.1" 200 4688
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/js/formCheck.js HTTP/1.1" 200 10738
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/js/order.js HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/order/orderInsertForm.do HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/js/jquery.jqGrid.min.js HTTP/1.1" 200 274405
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/img/ico_search.gif HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/img/point_result_group.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/img/search_icon_carendar.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/smoothness/images/ui-icons_888888_256x240.png HTTP/1.1" 200 6999
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:26 +0900] "GET /sale_on/asset/css/smoothness/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:29 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_glass_75_dadada_1x400.png HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:31 +0900] "GET /sale_on/order/orderUpdateForm.do HTTP/1.1" 200 35478
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:34 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=6%2C129%2C600 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:10:51 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=6%2C129%2C600 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:11:00 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=6%2C129%2C600 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:11:03 +0900] "POST /sale_on/order/masterGridList.do?ld_credit_limit_amt=25000000&ld_rem_dambo=6129600&credit_dambo=6129600&ls_limit_yn=&fr_date=2016-08-01&to_date=2016-08-22&rcust_id=&rcust_id_name=&sawon_info=%EA%B9%80%EA%B8%B8%EC%B2%9C++&tot_dambo=25%2C000%2C000&rem_dambo=6%2C129%2C600 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:12 +0900] "GET /sale_on/order/common/storeListPopup.do HTTP/1.1" 200 5352
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:12 +0900] "GET /sale_on/asset/img/popup_h1_line.gif HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:12 +0900] "GET /sale_on/asset/img/popup_btn_close.gif HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:13 +0900] "GET /sale_on/order/common/storeGridList.do?searchKeyword=&_search=false&nd=1471828333546&rows=-1&page=1&sidx=&sord=asc HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:32 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:32 +0900] "POST /sale_on/order/common/storeChkAjax.do HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:32 +0900] "POST /sale_on/order/itemGridList.do?rcust_id=8300483 HTTP/1.1" 200 5398
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:32 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:39 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:12:39 +0900] "POST /sale_on/order/itemChkRegAjax.do HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:14:03 +0900] "POST /sale_on/order/itemGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:14:04 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:14:04 +0900] "POST /sale_on/order/itemGridList.do HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [22/Aug/2016:10:14:06 +0900] "POST /sale_on/order/common/itemGbYnAjax.do HTTP/1.1" 200 983
